Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
1,Screaming Eagle,Cabernet Sauvignon,1995,750ml,1,Yes,No,1873,,,Robert Parker - 99/100,Vinous - 92+/100,
2,Screaming Eagle,Cabernet Sauvignon,1996,750ml,1,Yes,No,1066,,,Robert Parker - 98/100,Wine Spectator - 96/100,Jancis Robinson - 18/20
3,Screaming Eagle,Cabernet Sauvignon,1996,750ml,1,Yes,No,1978,,,Robert Parker - 98/100,Wine Spectator - 96/100,Jancis Robinson - 18/20
4,Screaming Eagle,Cabernet Sauvignon,1997,750ml,1,Yes,No,1874,,"Perfect 100 point score by Robert Parker - 'It doesn't get any better than 1997 Cabernet Sauvignon, a perfect wine.'",Robert Parker - 100/100,Wine Spectator - 95/100,
5,Screaming Eagle,Cabernet Sauvignon,2002,750ml,1,Yes,No,644,,,Vinous - 98/100,Robert Parker - 97+/100,
6,Screaming Eagle,Cabernet Sauvignon,2003,750ml,1,Yes,No,1875,,,Robert Parker - 98/100,Wine Enthusiast - 96/100,Vinous - 92/100
7,Screaming Eagle,Cabernet Sauvignon,2004,750ml,1,Yes,No,1876,,,Robert Parker - 97+/100,Jancis Robinson - 18/20,Vinous - 94/100
8,Screaming Eagle,Cabernet Sauvignon,2005,750ml,1,Yes,No,1877,,,Robert Parker - 98/100,Vinous - 95+/100,
9,Screaming Eagle,Cabernet Sauvignon,2006,750ml,1,Yes,No,2161,OWC - 3 bottle,,Wine Advocate - 98/100,Jancis Robinson - 19/20,
10,Screaming Eagle,Cabernet Sauvignon,2006,750ml,1,Yes,No,2163,OWC - 3 bottle,,Wine Advocate - 98/100,Jancis Robinson - 19/20,
11,Screaming Eagle,Cabernet Sauvignon,2006,750ml,1,Yes,No,2162,OWC - 3 bottle,,Wine Advocate - 98/100,Jancis Robinson - 19/20,
12,Screaming Eagle,Cabernet Sauvignon,2008,1500ml,1,Yes,No,1593,,,Vinous - 97/100,Wine Advocate - 95/100,
13,Screaming Eagle,Cabernet Sauvignon,2009,750ml,1,Yes,No,2166,OWC - 3 bottle,,Vinous - 98+/100,Wine Spectator - 97/100,Robert Parker - 96/100
14,Screaming Eagle,Cabernet Sauvignon,2009,750ml,1,Yes,No,2165,OWC - 3 bottle,,Vinous - 98+/100,Wine Spectator - 97/100,Robert Parker - 96/100
15,Screaming Eagle,Cabernet Sauvignon,2009,750ml,1,Yes,No,2164,OWC - 3 bottle,,Vinous - 98+/100,Wine Spectator - 97/100,Robert Parker - 96/100
16,Screaming Eagle,Cabernet Sauvignon,2010,750ml,1,Yes,No,2363,OWC - 3 bottle,"Perfect 100 point score by Robert Parker, described by Parker as ""Utter Perfection""",Robert Parker - 100/100,Vinous - 97+/100,
17,Screaming Eagle,Cabernet Sauvignon,2010,750ml,1,Yes,No,2361,OWC - 3 bottle,"Perfect 100 point score by Robert Parker, described by Parker as ""Utter Perfection""",Robert Parker - 100/100,Vinous - 97+/100,
18,Screaming Eagle,Cabernet Sauvignon,2010,750ml,1,Yes,No,2362,OWC - 3 bottle,"Perfect 100 point score by Robert Parker, described by Parker as ""Utter Perfection""",Robert Parker - 100/100,Vinous - 97+/100,
19,Screaming Eagle,Sauvignon Blanc,2010,750ml,1,Yes,No,1977,,50 Six packs produced. Grown on 2 acres at the Screaming Eagle vineyard.,,,
