,vintage,nr_tokens,name,volume_ml,lot_size,seal codes,description,description_missing,multplier,full_description,src_image,dst_image
0,2003,1,Series C 2013,750,6,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",0,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2003 3952 - 139981.jpg,farms/vilafonte/series-c/output/assets/0.jpg
1,2003,1,Series C 2003,750,6,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",0,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2003 3952 - 139981.jpg,farms/vilafonte/series-c/output/assets/1.jpg
2,2003,1,Series C 2003,750,6,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",0,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2003 3952 - 139981.jpg,farms/vilafonte/series-c/output/assets/2.jpg
3,2003,1,Series C 2003,750,6,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",0,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2003 3952 - 139981.jpg,farms/vilafonte/series-c/output/assets/3.jpg
4,2003,1,Series C 2003,750,6,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",0,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2003 3952 - 139981.jpg,farms/vilafonte/series-c/output/assets/4.jpg
5,2003,1,Series C 2003,750,6,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",0,,"‘A fairly big (14.5% alcohol), chewy wine, but one that delivers waves of lush fruit. Plum and cassis notes are framed by hints of smoke and cedar; the merest hint of green herbs adds complexity without detracting. Long and supple on the finish.’ - Wine Enthusiast, 92/100 (Nov 2005)
'The ‘C’ is for Cabernet Sauvignon, whose structure and power inform the masterly Bordeaux blend. It’s dark-berried opulence is still swaddled in youthfully dense and austere tannins. One for the patient - should evolve into something majestic. 82% Cabernet Sauvignon with Merlot, Cabernet Franc and Malbec. 54% new French oak for 18 months.'- Platter’s SA Wine Guide 2006, 4.5*",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2003 3952 - 139981.jpg,farms/vilafonte/series-c/output/assets/5.jpg
6,2004,1,Series C 2003,750,6,,"‘Clearly Cabernet led (52%), which the name implies: more austere, imposing than the Series M, though influential 35% Merlot adds sweet-fruited mid-palate flesh. ‘04 has a serious tannin grip but also verve and freshness to balance the riper style, ensuring ageing potential. Seasoned with Cabernet Franc and Malbec (9/4%). Seamlessly polished by 19 months in  ±70% new barriques. IWC gold.’ - Platter’s SA Wine Guide 2007, 4.5*
‘Series C is the Cabernet-dominated version of a wine that brings together the winemaking talents of California winemaker Zelma Long and her viticulturist husband Phil Freese, along with Warwick Estate's Mike Ratcliffe and San Francisco-based importer Bartholemew Broadbent. Coffee, chocolate and dark berry fruits dominate this brooding wine that shows intensity and power. Yet it never becomes heavy or overripe—here there is a good sense of balance that lifts the wine, especially in the aftertaste.’ - Roger Voss, Wine Enthusiast, 94/100 (Nov 2006)",0,,"‘Clearly Cabernet led (52%), which the name implies: more austere, imposing than the Series M, though influential 35% Merlot adds sweet-fruited mid-palate flesh. ‘04 has a serious tannin grip but also verve and freshness to balance the riper style, ensuring ageing potential. Seasoned with Cabernet Franc and Malbec (9/4%). Seamlessly polished by 19 months in  ±70% new barriques. IWC gold.’ - Platter’s SA Wine Guide 2007, 4.5*
‘Series C is the Cabernet-dominated version of a wine that brings together the winemaking talents of California winemaker Zelma Long and her viticulturist husband Phil Freese, along with Warwick Estate's Mike Ratcliffe and San Francisco-based importer Bartholemew Broadbent. Coffee, chocolate and dark berry fruits dominate this brooding wine that shows intensity and power. Yet it never becomes heavy or overripe—here there is a good sense of balance that lifts the wine, especially in the aftertaste.’ - Roger Voss, Wine Enthusiast, 94/100 (Nov 2006)",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2004 4331 - 286255.jpg,farms/vilafonte/series-c/output/assets/6.jpg
7,2004,1,Series C 2004,750,6,,"‘Clearly Cabernet led (52%), which the name implies: more austere, imposing than the Series M, though influential 35% Merlot adds sweet-fruited mid-palate flesh. ‘04 has a serious tannin grip but also verve and freshness to balance the riper style, ensuring ageing potential. Seasoned with Cabernet Franc and Malbec (9/4%). Seamlessly polished by 19 months in  ±70% new barriques. IWC gold.’ - Platter’s SA Wine Guide 2007, 4.5*
‘Series C is the Cabernet-dominated version of a wine that brings together the winemaking talents of California winemaker Zelma Long and her viticulturist husband Phil Freese, along with Warwick Estate's Mike Ratcliffe and San Francisco-based importer Bartholemew Broadbent. Coffee, chocolate and dark berry fruits dominate this brooding wine that shows intensity and power. Yet it never becomes heavy or overripe—here there is a good sense of balance that lifts the wine, especially in the aftertaste.’ - Roger Voss, Wine Enthusiast, 94/100 (Nov 2006)",0,,"‘Clearly Cabernet led (52%), which the name implies: more austere, imposing than the Series M, though influential 35% Merlot adds sweet-fruited mid-palate flesh. ‘04 has a serious tannin grip but also verve and freshness to balance the riper style, ensuring ageing potential. Seasoned with Cabernet Franc and Malbec (9/4%). Seamlessly polished by 19 months in  ±70% new barriques. IWC gold.’ - Platter’s SA Wine Guide 2007, 4.5*
‘Series C is the Cabernet-dominated version of a wine that brings together the winemaking talents of California winemaker Zelma Long and her viticulturist husband Phil Freese, along with Warwick Estate's Mike Ratcliffe and San Francisco-based importer Bartholemew Broadbent. Coffee, chocolate and dark berry fruits dominate this brooding wine that shows intensity and power. Yet it never becomes heavy or overripe—here there is a good sense of balance that lifts the wine, especially in the aftertaste.’ - Roger Voss, Wine Enthusiast, 94/100 (Nov 2006)",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2004 4331 - 286255.jpg,farms/vilafonte/series-c/output/assets/7.jpg
8,2004,1,Series C 2004,750,6,,"‘Clearly Cabernet led (52%), which the name implies: more austere, imposing than the Series M, though influential 35% Merlot adds sweet-fruited mid-palate flesh. ‘04 has a serious tannin grip but also verve and freshness to balance the riper style, ensuring ageing potential. Seasoned with Cabernet Franc and Malbec (9/4%). Seamlessly polished by 19 months in  ±70% new barriques. IWC gold.’ - Platter’s SA Wine Guide 2007, 4.5*
‘Series C is the Cabernet-dominated version of a wine that brings together the winemaking talents of California winemaker Zelma Long and her viticulturist husband Phil Freese, along with Warwick Estate's Mike Ratcliffe and San Francisco-based importer Bartholemew Broadbent. Coffee, chocolate and dark berry fruits dominate this brooding wine that shows intensity and power. Yet it never becomes heavy or overripe—here there is a good sense of balance that lifts the wine, especially in the aftertaste.’ - Roger Voss, Wine Enthusiast, 94/100 (Nov 2006)",0,,"‘Clearly Cabernet led (52%), which the name implies: more austere, imposing than the Series M, though influential 35% Merlot adds sweet-fruited mid-palate flesh. ‘04 has a serious tannin grip but also verve and freshness to balance the riper style, ensuring ageing potential. Seasoned with Cabernet Franc and Malbec (9/4%). Seamlessly polished by 19 months in  ±70% new barriques. IWC gold.’ - Platter’s SA Wine Guide 2007, 4.5*
‘Series C is the Cabernet-dominated version of a wine that brings together the winemaking talents of California winemaker Zelma Long and her viticulturist husband Phil Freese, along with Warwick Estate's Mike Ratcliffe and San Francisco-based importer Bartholemew Broadbent. Coffee, chocolate and dark berry fruits dominate this brooding wine that shows intensity and power. Yet it never becomes heavy or overripe—here there is a good sense of balance that lifts the wine, especially in the aftertaste.’ - Roger Voss, Wine Enthusiast, 94/100 (Nov 2006)",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2004 4331 - 286255.jpg,farms/vilafonte/series-c/output/assets/8.jpg
9,2004,1,Series C 2004,750,6,,"‘Clearly Cabernet led (52%), which the name implies: more austere, imposing than the Series M, though influential 35% Merlot adds sweet-fruited mid-palate flesh. ‘04 has a serious tannin grip but also verve and freshness to balance the riper style, ensuring ageing potential. Seasoned with Cabernet Franc and Malbec (9/4%). Seamlessly polished by 19 months in  ±70% new barriques. IWC gold.’ - Platter’s SA Wine Guide 2007, 4.5*
‘Series C is the Cabernet-dominated version of a wine that brings together the winemaking talents of California winemaker Zelma Long and her viticulturist husband Phil Freese, along with Warwick Estate's Mike Ratcliffe and San Francisco-based importer Bartholemew Broadbent. Coffee, chocolate and dark berry fruits dominate this brooding wine that shows intensity and power. Yet it never becomes heavy or overripe—here there is a good sense of balance that lifts the wine, especially in the aftertaste.’ - Roger Voss, Wine Enthusiast, 94/100 (Nov 2006)",0,,"‘Clearly Cabernet led (52%), which the name implies: more austere, imposing than the Series M, though influential 35% Merlot adds sweet-fruited mid-palate flesh. ‘04 has a serious tannin grip but also verve and freshness to balance the riper style, ensuring ageing potential. Seasoned with Cabernet Franc and Malbec (9/4%). Seamlessly polished by 19 months in  ±70% new barriques. IWC gold.’ - Platter’s SA Wine Guide 2007, 4.5*
‘Series C is the Cabernet-dominated version of a wine that brings together the winemaking talents of California winemaker Zelma Long and her viticulturist husband Phil Freese, along with Warwick Estate's Mike Ratcliffe and San Francisco-based importer Bartholemew Broadbent. Coffee, chocolate and dark berry fruits dominate this brooding wine that shows intensity and power. Yet it never becomes heavy or overripe—here there is a good sense of balance that lifts the wine, especially in the aftertaste.’ - Roger Voss, Wine Enthusiast, 94/100 (Nov 2006)",farms/vilafonte/series-c/input/bottels/1s/Vilafonte_Series_C_2004 4331 - 286255.jpg,farms/vilafonte/series-c/output/assets/9.jpg
