,vintage,nr_tokens,name,volume_ml,lot_size,seal codes,description,description_missing,multplier,full_description,src_image,dst_image
0,1980,1,Rubicon 1980,750,1,FS002 - 561013,,1,,"Seal Code: FS002 - 561013

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1980 FS002 - 561013.jpg,farms/meerlust/rubicon/output/assets/0.jpg
1,1981,1,Rubicon 1981,750,1,FS003 - 043153,,1,,"Seal Code: FS003 - 043153

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1981 FS003 - 043153.jpg,farms/meerlust/rubicon/output/assets/1.jpg
2,1982,1,Rubicon 1982,750,1,FS003 - 474882,"Cerise-brick edge. Spicy, with camphor, mushroomy, earthy whiffs, primary fruit all gone but leaving behind a lovely integration and a harmonious finish. 16.5/20 (750ml). - Michael Fridjhon, World of Fine Wine (2014)",0,,"Seal Code: FS003 - 474882

Cerise-brick edge. Spicy, with camphor, mushroomy, earthy whiffs, primary fruit all gone but leaving behind a lovely integration and a harmonious finish. 16.5/20 (750ml). - Michael Fridjhon, World of Fine Wine (2014)",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1982 FS003 - 474882.jpg,farms/meerlust/rubicon/output/assets/2.jpg
3,1983,1,Rubicon 1983,750,1,FS004 - 248007,,1,,"Seal Code: FS004 - 248007

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1983 FS004 - 248007.jpg,farms/meerlust/rubicon/output/assets/3.jpg
4,1984,1,Rubicon 1984,750,1,FS004 - 634870,"‘In an increasingly crowded field of local excellence, this remains among the top South African claret blends; consistently elegant, medium-bodied, carefully oaked, restrained but perfumed, with some classic, minerally, claret undertones. A ripe vegetal/herbal nuance is often apparent, with dried tea leaf associations. A medium-length finish, in a routinely medium-strength wine. The '84, undoubtedly one of the best vintages, was, for well-known French shipper Paul Bouchard, ""the finest French claret outside France"". Meerlust Rubicons are not big, plummy over-oaked or over-done New World or Californian creations. The aim has been not so much to attack the nostrils, with an upfront bouquet of raw cedary oak, but to go for elegant complexity on the palate.’  Platter’s SA Wine Guide 1990, 5*",0,,"Seal Code: FS004 - 634870

‘In an increasingly crowded field of local excellence, this remains among the top South African claret blends; consistently elegant, medium-bodied, carefully oaked, restrained but perfumed, with some classic, minerally, claret undertones. A ripe vegetal/herbal nuance is often apparent, with dried tea leaf associations. A medium-length finish, in a routinely medium-strength wine. The '84, undoubtedly one of the best vintages, was, for well-known French shipper Paul Bouchard, ""the finest French claret outside France"". Meerlust Rubicons are not big, plummy over-oaked or over-done New World or Californian creations. The aim has been not so much to attack the nostrils, with an upfront bouquet of raw cedary oak, but to go for elegant complexity on the palate.’  Platter’s SA Wine Guide 1990, 5*",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1984 FS004 - 634870.jpg,farms/meerlust/rubicon/output/assets/4.jpg
5,1986,1,Rubicon 1986,750,1,F064 - 419500,,1,,"Seal Code: F064 - 419500

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1986 F064 - 419500.jpg,farms/meerlust/rubicon/output/assets/5.jpg
6,1987,1,Rubicon 1987,750,1,F068 - 483311,,1,,"Seal Code: F068 - 483311

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1987 F068 - 483311.jpg,farms/meerlust/rubicon/output/assets/6.jpg
7,1988,1,Rubicon 1988,750,1,0041 - 684546,,1,,"Seal Code: 0041 - 684546

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1988 0041 - 684546.jpg,farms/meerlust/rubicon/output/assets/7.jpg
8,1989,1,Rubicon 1989,750,1,0147 - 920361,,1,,"Seal Code: 0147 - 920361

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1989 0147 - 920361.jpg,farms/meerlust/rubicon/output/assets/8.jpg
9,1991,2,Rubicon 1991,750,2,0135 - 996416,,1,,"Seal Code: 0135 - 996416

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1991 0135 - 996416.jpg,farms/meerlust/rubicon/output/assets/9.jpg
10,1991,2,Rubicon 1991,750,2,0135 - 996413,,1,,"Seal Code: 0135 - 996413

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1991 0135 - 996416.jpg,farms/meerlust/rubicon/output/assets/10.jpg
11,1992,2,Rubicon 1992,750,2,0066 - 177538,"‘Quiet understatement, free of both forward fruit and weighty, alcoholic Cape statements has been a byword of French-speaking proprietor Myburgh and Dalla Cia. A measured, tasty, grapey vinosity is the hallmark. '92 integrated, very pleasing, obviously from same stable.’  Platter’s SA Wine Guide 1998, 4*",0,,"Seal Code: 0066 - 177538

‘Quiet understatement, free of both forward fruit and weighty, alcoholic Cape statements has been a byword of French-speaking proprietor Myburgh and Dalla Cia. A measured, tasty, grapey vinosity is the hallmark. '92 integrated, very pleasing, obviously from same stable.’  Platter’s SA Wine Guide 1998, 4*",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1992 0066 - 177506.jpg,farms/meerlust/rubicon/output/assets/11.jpg
