,vintage,nr_tokens,name,volume_ml,lot_size,seal codes,description,description_missing,multplier,full_description,src_image,dst_image
0,2000,1,Paul Sauer 2000,750,1,,"‘Great character in this throwback wine, with a thicket of dark currant, blackberry, tar, beef, chestnut, mineral and sanguine flavors. Long finish is etched with bittersweet chocolate and another layer of really ripe blackberry fruit. Impressive. Cabernet Sauvignon, Cabernet Franc and Merlot.’ - James Molesworth, Winespectator, 92/100 (2004)",0,,"‘Great character in this throwback wine, with a thicket of dark currant, blackberry, tar, beef, chestnut, mineral and sanguine flavors. Long finish is etched with bittersweet chocolate and another layer of really ripe blackberry fruit. Impressive. Cabernet Sauvignon, Cabernet Franc and Merlot.’ - James Molesworth, Winespectator, 92/100 (2004)",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2000 3469 - 435297.JPG,farms/kanonkop/paul-sauer/output/assets/0.jpg
1,2001,1,Paul Sauer 2001,750,1,,"""Fine Bordeaux-style blend, one of few undoubted Cape classics - with recent years showing modern touches to classicism. Vinified traditionally in open fermenters. 01's 64% Cabernet less than usual 80%; with equal amounts Cabernet Franc and Merlot. From first sniff, obvious claims to illustrious lineage: violets, tea-leaf, blackberries, presented subtly and superbly. Finely structured and balanced palate, strongly elegant, with succulent acidity and silky tannins, plentiful understated fruit. 26 months new French oak will knit. Few more years will bring harmony, heralding rewarding lengthy maturity"" - Platter's SA Wine Guide 2005, 4.5*",0,,"""Fine Bordeaux-style blend, one of few undoubted Cape classics - with recent years showing modern touches to classicism. Vinified traditionally in open fermenters. 01's 64% Cabernet less than usual 80%; with equal amounts Cabernet Franc and Merlot. From first sniff, obvious claims to illustrious lineage: violets, tea-leaf, blackberries, presented subtly and superbly. Finely structured and balanced palate, strongly elegant, with succulent acidity and silky tannins, plentiful understated fruit. 26 months new French oak will knit. Few more years will bring harmony, heralding rewarding lengthy maturity"" - Platter's SA Wine Guide 2005, 4.5*",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2001 3794 - 994834.JPG,farms/kanonkop/paul-sauer/output/assets/1.jpg
2,2002,1,Paul Sauer 2002,750,1,,"64% Cabernet Sauvignon and equal amounts Merlot and Cabernet Franc in lesser vintage '02, also good and serious, long-flavoured  but less subtuously fruited, more severe, with big dry tannins. 2 years in French oak. WO Simonsberg-Stellenbosch.' - Platter's SA Wine Guide 2006, 4.5*'Quite ripe and rather full, with a nice velvety feel to the dark plum, mashed currant and fig paste notes, all laced with maduro tobacco and bittersweet cocoa hints. The muscular finish has an iron hint buried. Much better than on release, when it had an inconsistent showing. Drink now through 2022. 3,209 cases made.' - James Molesworth, Non-blind Kanonkop vertical tasting, Wine Spectator 2010, 91/100 & Top 100 listing
Decanter Magazine 2006 edition (UK) - 5 Stars",0,,"64% Cabernet Sauvignon and equal amounts Merlot and Cabernet Franc in lesser vintage '02, also good and serious, long-flavoured  but less subtuously fruited, more severe, with big dry tannins. 2 years in French oak. WO Simonsberg-Stellenbosch.' - Platter's SA Wine Guide 2006, 4.5*'Quite ripe and rather full, with a nice velvety feel to the dark plum, mashed currant and fig paste notes, all laced with maduro tobacco and bittersweet cocoa hints. The muscular finish has an iron hint buried. Much better than on release, when it had an inconsistent showing. Drink now through 2022. 3,209 cases made.' - James Molesworth, Non-blind Kanonkop vertical tasting, Wine Spectator 2010, 91/100 & Top 100 listing
Decanter Magazine 2006 edition (UK) - 5 Stars",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2002 4098 - 796360.JPG,farms/kanonkop/paul-sauer/output/assets/2.jpg
3,2003,1,Paul Sauer 2003,750,1,,"2003 is considered among the best Cape vintages post the turn of the century.
 ‘A classic since 1981: has Cape character plus international sophistication. Vinified traditionally, like all these, in open fermenters. 03’s 63% Cabernet Sauvignon in line with previous, but just 6% Merlot, rest Cabernet Franc. Dominated in youth by oak and spicy tobacco, but rich fruit lurking: deserves at least half-decade maturation for violets, tea-leaf, black berries to play full role within firm, ripe structure.’ – Platter’s SA Wine Guide 2007, 4.5*
‘(63% Cabernet Sauvignon, 31% Cabernet Franc and 6% Merlot) Medium ruby-red. Explosive aromas of blackberry, violet, iron, graphite, meat, leather and licorice, all lifted by a floral note. Sweet, dense and silky, with highly concentrated candied fruit flavors and superb inner-palate verve. Complicating notes of tar and forest floor. Finishes firmly tannic and very long. An outstanding vintage for this South African classic. – Stephen Tanzer, Vinous,  92+/100 (March 2007)
‘The 2003 Kanonkop Paul Sauer Stellenbosch has the highest percentage of Cabernet Franc used to date (31%) with 6% Merlot and 63% Cabernet Sauvignon. It has a very refined bouquet, very pure, with star-anise-tinged black fruit with hints of bell pepper and tertiary notes emerging with time. The palate has an understated entry with a slightly grainy texture: blackberry, black olive, a touch of menthol and dried orange rind toward the finish. This is drinking now, but will continue to evolve over 15 to 20 years.’ – Neal Martin, Wine Advocate (October 2014), 91/100
‘This is solid, with mature hints of cedar and tobacco now weaving through the core of red currant, damson plum and red licorice. A nice briary edge frames the tangy finish. Cabernet Sauvignon, Cabernet Franc and Merlot.--Non-blind Kanonkop vertical tasting (2010). Drink now. 4,125 cases made.’ – Wine Spectator (Tasted 2010), 90/100",0,,"2003 is considered among the best Cape vintages post the turn of the century.
 ‘A classic since 1981: has Cape character plus international sophistication. Vinified traditionally, like all these, in open fermenters. 03’s 63% Cabernet Sauvignon in line with previous, but just 6% Merlot, rest Cabernet Franc. Dominated in youth by oak and spicy tobacco, but rich fruit lurking: deserves at least half-decade maturation for violets, tea-leaf, black berries to play full role within firm, ripe structure.’ – Platter’s SA Wine Guide 2007, 4.5*
‘(63% Cabernet Sauvignon, 31% Cabernet Franc and 6% Merlot) Medium ruby-red. Explosive aromas of blackberry, violet, iron, graphite, meat, leather and licorice, all lifted by a floral note. Sweet, dense and silky, with highly concentrated candied fruit flavors and superb inner-palate verve. Complicating notes of tar and forest floor. Finishes firmly tannic and very long. An outstanding vintage for this South African classic. – Stephen Tanzer, Vinous,  92+/100 (March 2007)
‘The 2003 Kanonkop Paul Sauer Stellenbosch has the highest percentage of Cabernet Franc used to date (31%) with 6% Merlot and 63% Cabernet Sauvignon. It has a very refined bouquet, very pure, with star-anise-tinged black fruit with hints of bell pepper and tertiary notes emerging with time. The palate has an understated entry with a slightly grainy texture: blackberry, black olive, a touch of menthol and dried orange rind toward the finish. This is drinking now, but will continue to evolve over 15 to 20 years.’ – Neal Martin, Wine Advocate (October 2014), 91/100
‘This is solid, with mature hints of cedar and tobacco now weaving through the core of red currant, damson plum and red licorice. A nice briary edge frames the tangy finish. Cabernet Sauvignon, Cabernet Franc and Merlot.--Non-blind Kanonkop vertical tasting (2010). Drink now. 4,125 cases made.’ – Wine Spectator (Tasted 2010), 90/100",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2003 4353 - 775747.JPG,farms/kanonkop/paul-sauer/output/assets/3.jpg
4,2004,1,Paul Sauer 2004,750,1,,"A classic since 1981. '04 has 70% Cabernet Sauvignon, with equal amounts Merlot and Cabernet Franc. Winning aromas cedar, spice, subtle berry, leading to oaky palate a touch lighter, less fruit-substantial than usual, but promising useful development. Vinified traditionally, like all these, in open fermenters. 2 years in French oak.' - Platter's SA Wine Guide 2008, 4.5*",0,,"A classic since 1981. '04 has 70% Cabernet Sauvignon, with equal amounts Merlot and Cabernet Franc. Winning aromas cedar, spice, subtle berry, leading to oaky palate a touch lighter, less fruit-substantial than usual, but promising useful development. Vinified traditionally, like all these, in open fermenters. 2 years in French oak.' - Platter's SA Wine Guide 2008, 4.5*",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2004 4667 - 0364785.JPG,farms/kanonkop/paul-sauer/output/assets/4.jpg
5,2005,1,Paul Sauer 2005,750,1,,"‘The 2005 Paul Sauer offers an exuberant bouquet with dried prune, licorice, a touch of caramel and fig that just soars from the glass. The palate is medium-bodied with a harmonious, focused opening. The tannins lend the 2005 a firm structure, but there is plenty of fruit to back it up and the finish fans out with luscious licorice, sea salt and black fruits that linger. Superb. Drink 2014-2025.’ - Neal Martin, Robertparker.com, 93/100 (2013)
 ‘Confident, refined 05, 70% Cabernet Sauvignon with equal Merlot and Cabernet Franc spent 2 years in new casks after traditional fermentation in open kuipe. Seductive cedar, spice and richly layered fruit will appeal to eager audience, as will plush, lengthy finish. 14.5% alc. 2008 Calyon trophy for 04.’ - Platter’s SA Wine Guide, 4.5* (2009)",0,,"‘The 2005 Paul Sauer offers an exuberant bouquet with dried prune, licorice, a touch of caramel and fig that just soars from the glass. The palate is medium-bodied with a harmonious, focused opening. The tannins lend the 2005 a firm structure, but there is plenty of fruit to back it up and the finish fans out with luscious licorice, sea salt and black fruits that linger. Superb. Drink 2014-2025.’ - Neal Martin, Robertparker.com, 93/100 (2013)
 ‘Confident, refined 05, 70% Cabernet Sauvignon with equal Merlot and Cabernet Franc spent 2 years in new casks after traditional fermentation in open kuipe. Seductive cedar, spice and richly layered fruit will appeal to eager audience, as will plush, lengthy finish. 14.5% alc. 2008 Calyon trophy for 04.’ - Platter’s SA Wine Guide, 4.5* (2009)",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2005 4901 - 0310663.JPG,farms/kanonkop/paul-sauer/output/assets/5.jpg
6,2006,1,Paul Sauer 2006,750,1,,"‘Iconic blend led by Cabernet Sauvignon, with Cabernet Franc, Merlot - 65/20/15 in 06; classic style after more modern 05; impressively powerful: dense, richly layered fruit shows remarkable depth and complexity. 2 yrs new Fr oak effortlessly absorbed.’ - Platter’s SA Wine Guide, 5* (2010)",0,,"‘Iconic blend led by Cabernet Sauvignon, with Cabernet Franc, Merlot - 65/20/15 in 06; classic style after more modern 05; impressively powerful: dense, richly layered fruit shows remarkable depth and complexity. 2 yrs new Fr oak effortlessly absorbed.’ - Platter’s SA Wine Guide, 5* (2010)",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2006 5179 - 0486869.JPG,farms/kanonkop/paul-sauer/output/assets/6.jpg
7,2007,1,Paul Sauer 2007,750,1,,"‘Magnificent 2007 an indulgence to rival the best. Complex opulence held back in restrained, compact form, promises to reveal over decades. Blend Cabernet (68%), Cabernet Franc, Merlot; 2 years all-new French adds authority, plush tannins to remarkable mix. Follows impressively powerful 2006 (5 stars).’ – Platter’s SA Wine Guide, 4.5* (2011)‘(68% Cabernet Sauvignon, 17% Cabernet Franc and 15% Merlot; aged for 24 months in all new French oak) Bright medium red. Dark aromas of blueberry, boysenberry, licorice and mint, lifted by a floral topnote. Intensely flavored, juicy and gripping, with terrific energy and a distinct cool-vintage character. Sexy oak adds complexity to the very long, firmly tannic finish. This very dense, rich wine is still folded in on itself and will require extended aging.’ – Stephen Tanzer, Vinous, 92+/100 (Mar 2011)‘Balanced and forward with enticing notes of cedar and smoked meat among aromas of mulled blackberries and licorice. Lush dark black fruit floods the velvety mouth, while tobacco and sweet spice linger through the lengthy close.’ – Lauren Buzzeo, Wine Enthusiast, 91/100 (Jan 2011)",0,,"‘Magnificent 2007 an indulgence to rival the best. Complex opulence held back in restrained, compact form, promises to reveal over decades. Blend Cabernet (68%), Cabernet Franc, Merlot; 2 years all-new French adds authority, plush tannins to remarkable mix. Follows impressively powerful 2006 (5 stars).’ – Platter’s SA Wine Guide, 4.5* (2011)‘(68% Cabernet Sauvignon, 17% Cabernet Franc and 15% Merlot; aged for 24 months in all new French oak) Bright medium red. Dark aromas of blueberry, boysenberry, licorice and mint, lifted by a floral topnote. Intensely flavored, juicy and gripping, with terrific energy and a distinct cool-vintage character. Sexy oak adds complexity to the very long, firmly tannic finish. This very dense, rich wine is still folded in on itself and will require extended aging.’ – Stephen Tanzer, Vinous, 92+/100 (Mar 2011)‘Balanced and forward with enticing notes of cedar and smoked meat among aromas of mulled blackberries and licorice. Lush dark black fruit floods the velvety mouth, while tobacco and sweet spice linger through the lengthy close.’ – Lauren Buzzeo, Wine Enthusiast, 91/100 (Jan 2011)",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2007 5592 - 633540.JPG,farms/kanonkop/paul-sauer/output/assets/7.jpg
8,2008,1,Paul Sauer 2008,750,1,,"Intricate 2008 (69% Cabernet Sauvignon, 22% Cabernet Franc, 9% Merlot) is medium bodied yet intensely flavoured. Violets, ripe red and black berries, vanilla and pencil shavings on the nose; excellent fruit expression, fresh acidity, ever so fine tannins before saline finish. 2 years in French oak, 100% new.' - Platter's SA Wine Guide 2012, 4.5*‘Very classic and perhaps old fashioned in style but well made.’  Neal Martin, Wine Advocate, 90/100",0,,"Intricate 2008 (69% Cabernet Sauvignon, 22% Cabernet Franc, 9% Merlot) is medium bodied yet intensely flavoured. Violets, ripe red and black berries, vanilla and pencil shavings on the nose; excellent fruit expression, fresh acidity, ever so fine tannins before saline finish. 2 years in French oak, 100% new.' - Platter's SA Wine Guide 2012, 4.5*‘Very classic and perhaps old fashioned in style but well made.’  Neal Martin, Wine Advocate, 90/100",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2008 5955 - 413105.JPG,farms/kanonkop/paul-sauer/output/assets/8.jpg
9,2009,1,Paul Sauer 2009,750,1,," '(68% Cabernet Sauvignon and 16% each Merlot and Cabernet Franc): Bright red-ruby. Enticing aromas of cassis, black cherry, licorice and wild herbs. Dense, layered and deep; at once ripe and dry, with rich, brooding flavors of cassis and cedary spices. This very concentrated, very tightly wound young wine boasts compelling inner-palate energy and finishes with terrific length. Sappy, structured and built to age. Winemaker: Abrie Beeslaar.’ – Stephen Tanzer, Vinous,  92+/100 (Sept 2012)
‘Features a core of dark plum, cassis and blackberry fruit offset by a floral anise notes. Delivers ample grip, but remains sleek and fine-grained, with a flicker of apple wood filling out the finish. Shows latent depth and should cellar nicely. Cabernet Sauvignon, Cabernet Franc and Merlot. Best from 2014 through 2020.’ – Wine Spectator (October 2013), 92/100
‘At a time when a lot of the so-called old guard are rapidly being outpaced, outflanked by the new generation of winemakers who have travelled overseas and introduced a more thoughtful approach to their craft, Kanonkop are a testament to fact that some of the country’s stalwarts can remain at the top of their game. Many producers merely pay lip service to the notion of finesse, but at Kanonkop that is evident where it matters – in the glass. So kudos to owners Johann and Paul Krige and especially to winemaker Abrie Beeslaar, installed at Kanonkop since 2002, for all their hard work. What I found interesting was Abrie’s conviction that Kanonkop has remained true to what it does, ignoring fads and fashions, merely fine-tuning its style. I have to say that over the last ten years their wines have attained a greater degree of refinement and purity, therefore something must have changed! What distinguishes Kanonkop is both the enviable age of some of its vine stock, especially its Pinotage, and the corollary of longevity. These are wines that are probably drunk way too early by consumers, although I can understand why. Chuck two or three bottles in your cellar and leave them for 20 years – you will be amazed at what you will find.’ - Neal Martin, Wine Advocate",0,," '(68% Cabernet Sauvignon and 16% each Merlot and Cabernet Franc): Bright red-ruby. Enticing aromas of cassis, black cherry, licorice and wild herbs. Dense, layered and deep; at once ripe and dry, with rich, brooding flavors of cassis and cedary spices. This very concentrated, very tightly wound young wine boasts compelling inner-palate energy and finishes with terrific length. Sappy, structured and built to age. Winemaker: Abrie Beeslaar.’ – Stephen Tanzer, Vinous,  92+/100 (Sept 2012)
‘Features a core of dark plum, cassis and blackberry fruit offset by a floral anise notes. Delivers ample grip, but remains sleek and fine-grained, with a flicker of apple wood filling out the finish. Shows latent depth and should cellar nicely. Cabernet Sauvignon, Cabernet Franc and Merlot. Best from 2014 through 2020.’ – Wine Spectator (October 2013), 92/100
‘At a time when a lot of the so-called old guard are rapidly being outpaced, outflanked by the new generation of winemakers who have travelled overseas and introduced a more thoughtful approach to their craft, Kanonkop are a testament to fact that some of the country’s stalwarts can remain at the top of their game. Many producers merely pay lip service to the notion of finesse, but at Kanonkop that is evident where it matters – in the glass. So kudos to owners Johann and Paul Krige and especially to winemaker Abrie Beeslaar, installed at Kanonkop since 2002, for all their hard work. What I found interesting was Abrie’s conviction that Kanonkop has remained true to what it does, ignoring fads and fashions, merely fine-tuning its style. I have to say that over the last ten years their wines have attained a greater degree of refinement and purity, therefore something must have changed! What distinguishes Kanonkop is both the enviable age of some of its vine stock, especially its Pinotage, and the corollary of longevity. These are wines that are probably drunk way too early by consumers, although I can understand why. Chuck two or three bottles in your cellar and leave them for 20 years – you will be amazed at what you will find.’ - Neal Martin, Wine Advocate",farms/kanonkop/paul-sauer/input/bottels/1s/Kanonkop Paul Sauer 2009 6205 - 838563.JPG,farms/kanonkop/paul-sauer/output/assets/9.jpg
