Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Mouton Rothschild Pauillac 1945,"In 1945, to commemorate the Allied victory, Baron Philippe de Rothschild had the idea of embellishing the Mouton Rothschild label with art-work: in this instance, a symbolic return of peace. He commissioned this from young unknown artist, Philippe Jullian. Having displayed early promise as a designer. This label is based on the famous 'V for Victory' that Churchill used throughout the war to rally the forces of freedom.",https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/1.png,0,750,1945,No,2347,Wine Advocate - 100/100,Jancis Robinson - 19/20,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/0
Mouton Rothschild Pauillac 1947,"Label art by Jean Cocteau - Novelist, dramatist, painter and designer, but primarily a poet.",https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/2.png,1,750,1947,No,1910,Wine Advocate - 97/100,Decanter - 97/100,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/1
Mouton Rothschild Pauillac 1947,"Label art by Jean Cocteau - Novelist, dramatist, painter and designer, but primarily a poet.",https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/3.png,2,1500,1947,No,1608,Wine Advocate - 97/100,Decanter - 97/100,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/2
Mouton Rothschild Pauillac 1948,"Label art by Marie Laurencin - She drew a pair of young bacchantes, endowing them with a typically childlike gravity.",https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/4.png,3,1500,1948,No,1725,Falstaff - 96/100,,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/3
Mouton Rothschild Pauillac 1949,Label art by Andre Dignimont - Parisian painter has drawn the inside of a country pub for his label - one of the best vintages of the century.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/5.png,4,1500,1949,No,1666,Vinous - 100/100,Jancis Robinson - 19/20,Robert Parker - 94/100,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/4
Mouton Rothschild Pauillac 1950,Label art by Georges Arnulf,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/6.png,5,750,1950,No,1906,,,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/5
Mouton Rothschild Pauillac 1951,Label art by Marcel Vertès - shepherd and shepherdess.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/7.png,6,750,1951,No,1909,,,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/6
Mouton Rothschild Pauillac 1952,"Label art by Leonor Fini - A young 'She-Ram' demonstrates her capacity by sheer elegance and precision of her drawing, to lift everyday reality into the world of dreams.",https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/8.png,7,750,1952,No,1905,,,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/7
Mouton Rothschild Pauillac 1952,"Label art by Leonor Fini - A young 'She-Ram' demonstrates her capacity by sheer elegance and precision of her drawing, to lift everyday reality into the world of dreams.",https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/9.png,8,1500,1952,No,2301,Wine Spectator - 90/100,,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/8
Mouton Rothschild Pauillac 1953,Centenary Commemorative label - showing contemporary portrait of Baron Nathaniel.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Mouton/images/10.png,9,1500,1953,No,1596,Wine Advocate - 95/100,Jancis Robinson - 17.5/20,,https://opensea.io/assets/matic/0x038C0998f580798F849Ee8841a7E5dD5040F8dF8/9
